campaign,keyword,match_type,current_bid,impressions,clicks,spend,sales,orders,cpc,cvr,acos,action,reason,new_bid
Campaign_Summer,monitor stand,BROAD,0.98,3417,197,287.23,649.75,18,1.458020304568528,0.09137055837563451,0.44206233166602543,降价 (控本),ACOS 44.2% 过高,0.82
Campaign_Spring,wireless mouse,BROAD,1.85,6422,112,251.46,334.88,7,2.2451785714285717,0.0625,0.7508958432871476,降价 (控本),ACOS 75.1% 过高,0.75
Campaign_Tech,webcam 1080p,BROAD,1.91,5364,167,50.0,0.0,0,0.2994011976047904,0.0,inf,大幅降价 (止损),花费 $50.0 无出单,0.1
Campaign_Summer,webcam 1080p,BROAD,1.43,5756,137,142.48,254.22,9,1.04,0.06569343065693431,0.5604594445755644,降价 (控本),ACOS 56.0% 过高,0.46
Campaign_Spring,gaming keyboard,EXACT,1.42,4051,137,310.08,456.82,18,2.2633576642335766,0.13138686131386862,0.6787793879427345,降价 (控本),ACOS 67.9% 过高,0.83
Campaign_Spring,gaming keyboard,BROAD,1.24,3444,107,136.47,293.41,7,1.2754205607476636,0.06542056074766354,0.46511707167444866,降价 (控本),ACOS 46.5% 过高,0.69
Campaign_Spring,webcam 1080p,BROAD,1.59,943,16,15.0,82.04,2,0.9375,0.125,0.18283764017552412,提价 (扩量),ACOS 18.3% 优秀,1.75
Campaign_Spring,gaming keyboard,EXACT,1.35,665,8,7.77,22.97,1,0.97125,0.125,0.33826730518067044,降价 (控本),ACOS 33.8% 过高,0.72
Campaign_Spring,gaming keyboard,EXACT,0.89,4016,134,187.35,671.63,19,1.3981343283582088,0.1417910447761194,0.2789482304244897,降价 (控本),ACOS 27.9% 过高,1.25
Campaign_Tech,usb hub,EXACT,1.05,5772,184,333.76,1389.59,32,1.8139130434782609,0.17391304347826086,0.240185954130355,提价 (扩量),ACOS 24.0% 优秀,2.08
